Employee Name,Account Number,IFSC Code,Net Salary,Transaction Date
,,,0.00,2026-02-07
ANUSH,1345141124213,,5600.00,2026-02-07
SREERAG,543565456545,,24966.67,2026-02-07
AMOS,523523523525,,6666.67,2026-02-07
WASEEM,65463643636,,6666.67,2026-02-07
ASHIQ,32543534253515,,22878.47,2026-02-07
SEYDBASIL,4254326466,,25892.57,2026-02-07
ARJUN,34253454354,,24369.79,2026-02-07
SEBASTIAN,21fewdfwq342t,,18678.33,2026-02-07
SALAHU,352323324124,,6933.33,2026-02-07
SAJIN,352532,,19744.86,2026-02-07
SNEHA,324q3213123213,,23670.00,2026-02-07
AKASH,qedqedqd,,27046.53,2026-02-07
RUMAISA,432412411,,25951.88,2026-02-07
AYYOOB,4324451314,,25102.08,2026-02-07
AMAL,5324341324,,18663.75,2026-02-07
