Employee Name,Account Number,IFSC Code,Net Salary,Transaction Date
,,,0.00,2026-02-11
ANUSH,1345141124213,,20574.17,2026-02-11
SREERAG,543565456545,,27574.17,2026-02-11
AMOS,523523523525,,24842.01,2026-02-11
WASEEM,65463643636,,24638.89,2026-02-11
ASHIQ,32543534253515,,25000.00,2026-02-11
SEYDBASIL,4254326466,,29000.00,2026-02-11
ARJUN,34253454354,,25000.00,2026-02-11
SEBASTIAN,21fewdfwq342t,,17922.92,2026-02-11
SALAHU,352323324124,,25351.81,2026-02-11
SAJIN,352532,,21995.35,2026-02-11
SNEHA,324q3213123213,,27000.00,2026-02-11
AKASH,qedqedqd,,29000.00,2026-02-11
RUMAISA,432412411,,27000.00,2026-02-11
AYYOOB,4324451314,,27889.58,2026-02-11
AMAL,5324341324,,21000.00,2026-02-11
TEST USER,,,2833.33,2026-02-11
