Employee Name,Account Number,IFSC Code,Net Salary,Transaction Date
,,,0.00,2026-02-11
ANUSH,1345141124213,,7000.00,2026-02-11
SREERAG,543565456545,,9333.33,2026-02-11
AMOS,523523523525,,8333.33,2026-02-11
WASEEM,65463643636,,8333.33,2026-02-11
ASHIQ,32543534253515,,8333.33,2026-02-11
SEYDBASIL,4254326466,,9666.67,2026-02-11
ARJUN,34253454354,,8333.33,2026-02-11
SEBASTIAN,21fewdfwq342t,,7000.00,2026-02-11
SALAHU,352323324124,,8666.67,2026-02-11
SAJIN,352532,,7666.67,2026-02-11
SNEHA,324q3213123213,,9000.00,2026-02-11
AKASH,qedqedqd,,9666.67,2026-02-11
RUMAISA,432412411,,9000.00,2026-02-11
AYYOOB,4324451314,,10000.00,2026-02-11
AMAL,5324341324,,7000.00,2026-02-11
